,age_group,education,gender,nationality,electoral_district,unit,n
258,16-24,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,1
259,16-24,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,12
260,16-24,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
261,16-24,Secondary education,Female,Other,Tartu linn,Tartu linn,200
262,16-24,Higher education,Female,Other,Tartu linn,Tartu linn,24
263,16-24,Basic education,Female,Other,Tartu linn,Tartu linn,224
264,16-24,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,58
265,16-24,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,4
266,16-24,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,64
267,16-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,43
268,16-24,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,4
269,16-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,68
270,16-24,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,4
271,16-24,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,2
272,16-24,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,6
273,16-24,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,11
274,16-24,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,1
275,16-24,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,14
276,25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,836
277,25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,704
278,25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,213
279,25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1300
280,25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1639
281,25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,330
282,25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,809
283,25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,816
284,25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,220
285,25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1323
286,25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,736
287,25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,494
288,25-34,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1629
289,25-34,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1247
290,25-34,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,462
291,25-34,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,774
292,25-34,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,607
293,25-34,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,215
294,25-34,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,265
295,25-34,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,267
296,25-34,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,62
297,25-34,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1202
298,25-34,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1034
299,25-34,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,385
300,25-34,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,4204
301,25-34,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,2310
302,25-34,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1682
